elevation_mean,elevation_std,slope_mean,slope_std,NDVI_mean,NDVI_std,NDCI_mean,NDCI_std,IronRatio_mean,IronRatio_std,landcover_mode,lat,lon,name,mineral,ree_probability,prediction
1546.7107049934978,7.678097640142321,2.8115038373820105,1.6270726224248546,0.0,0.0,0.0,0.0,0.0,0.0,30.0,34.63157894736842,-112.36842105263158,Prediction Point 117,Unknown,0.5353182982254272,1
1916.640553451416,8.67078881086012,3.768405359004976,3.0379596878122164,0.0,0.0,0.0,0.0,0.0,0.0,29.999999999999996,34.63157894736842,-110.78947368421052,Prediction Point 119,Unknown,0.5508054065411934,1
1705.4305412280917,10.91324183442716,3.8936588325903827,2.271700937510644,0.0,0.0,0.0,0.0,0.0,0.0,29.999999999999975,34.63157894736842,-110.0,Prediction Point 120,Unknown,0.5388473140231492,1
1602.1899366460436,4.714385056872295,1.8888754904598035,1.1529713575688803,0.0,0.0,0.0,0.0,0.0,0.0,29.999999999999996,35.1578947368421,-113.15789473684211,Prediction Point 136,Unknown,0.5251585538164816,1
2127.6218184415384,24.172844985285483,6.838919457409784,8.763428113692207,0.0,0.0,0.0,0.0,0.0,0.0,10.000000000000004,35.1578947368421,-111.57894736842105,Prediction Point 138,Unknown,0.5760610359352878,1
1723.3544761058724,14.279190255718522,5.398158984557143,4.705426916152006,0.0,0.0,0.0,0.0,0.0,0.0,30.000000000000018,35.68421052631579,-112.36842105263158,Prediction Point 157,Unknown,0.5833316169401419,1
1680.903335200969,12.146560374020313,3.3630542080740766,1.9162561746969693,0.0,0.0,0.0,0.0,0.0,0.0,30.000000000000004,35.68421052631579,-110.78947368421052,Prediction Point 159,Unknown,0.5388473140231492,1
1974.1266460736606,19.077552535065134,7.512168734875477,4.220128204573796,0.0,0.0,0.0,0.0,0.0,0.0,30.0,35.68421052631579,-110.0,Prediction Point 160,Unknown,0.6516371378024011,1
1382.4929750621113,27.38733776005663,6.207368403707825,6.293795418940618,0.0,0.0,0.0,0.0,0.0,0.0,29.999999999999996,36.21052631578947,-117.89473684210526,Prediction Point 170,Unknown,0.5380276355169777,1
2178.5032295921455,49.00922725594061,11.412898961733733,7.70965595238348,0.0,0.0,0.0,0.0,0.0,0.0,10.0,36.21052631578947,-110.0,Prediction Point 180,Unknown,0.5442676400418827,1
1513.3545311793919,26.311160915406347,4.360020294359133,4.2015635723183795,0.0,0.0,0.0,0.0,0.0,0.0,30.000000000000032,36.73684210526316,-113.15789473684211,Prediction Point 196,Unknown,0.5293526036284387,1
2693.5015358738174,59.91481362429453,12.08434663945788,6.479827982053408,0.0,0.0,0.0,0.0,0.0,0.0,10.000000000000005,37.78947368421053,-118.6842105263158,Prediction Point 229,Unknown,0.5862379760219764,1
1750.9591851007071,15.537634702334586,5.126367310782118,3.066993861239424,0.0,0.0,0.0,0.0,0.0,0.0,30.00000000000001,37.78947368421053,-117.10526315789474,Prediction Point 231,Unknown,0.5420680475752169,1
2000.820784490936,65.15124718778003,8.776428690548554,7.043667861128722,0.0,0.0,0.0,0.0,0.0,0.0,19.999999999999993,37.78947368421053,-115.52631578947368,Prediction Point 233,Unknown,0.6194915523698756,1
2087.9929330015916,16.716613804803227,4.774415529105866,2.8564590882822536,0.0,0.0,0.0,0.0,0.0,0.0,29.999999999999996,37.78947368421053,-112.36842105263158,Prediction Point 237,Unknown,0.6152896181044504,1
2128.9367705076806,40.3837918189343,8.459309550429776,4.914533036227736,0.0,0.0,0.0,0.0,0.0,0.0,10.000000000000005,38.31578947368421,-113.94736842105263,Prediction Point 255,Unknown,0.5386864310402997,1
3009.1557988269474,54.73836836975375,15.37534660683592,6.535155766584103,0.0,0.0,0.0,0.0,0.0,0.0,10.000000000000007,38.31578947368421,-112.36842105263158,Prediction Point 257,Unknown,0.5376283944652782,1
2185.0781673942342,28.45446454923797,5.881103878994189,2.680488260886286,0.0,0.0,0.0,0.0,0.0,0.0,29.99999999999998,38.31578947368421,-111.57894736842105,Prediction Point 258,Unknown,0.6327461817145024,1
2042.4345215003818,58.579535299156184,10.541170222448839,5.505225899469646,0.0,0.0,0.0,0.0,0.0,0.0,10.0,38.8421052631579,-120.26315789473685,Prediction Point 267,Unknown,0.6001863211251766,1
2356.626342095358,42.70169334354359,8.852205587358377,3.4851935357688775,0.0,0.0,0.0,0.0,0.0,0.0,10.0,38.8421052631579,-114.73684210526315,Prediction Point 274,Unknown,0.5117140602738112,1
1769.8569716742877,20.675168323991674,3.0508800641910474,1.3689962233298145,0.0,0.0,0.0,0.0,0.0,0.0,30.0,38.8421052631579,-113.94736842105263,Prediction Point 275,Unknown,0.562616918755382,1
2277.147691614346,75.83144271557573,11.921685879280858,8.31266827098478,0.0,0.0,0.0,0.0,0.0,0.0,29.999999999999964,38.8421052631579,-111.57894736842105,Prediction Point 278,Unknown,0.5573722314583169,1
2156.736340218712,9.214098992599768,3.9374068264663693,2.394865320607617,0.0,0.0,0.0,0.0,0.0,0.0,29.999999999999996,38.8421052631579,-110.78947368421052,Prediction Point 279,Unknown,0.580965293780126,1
2071.4832519937277,57.788467808551594,9.12330142902754,5.837706663466798,0.0,0.0,0.0,0.0,0.0,0.0,10.000000000000009,39.368421052631575,-120.26315789473685,Prediction Point 287,Unknown,0.6293522496854973,1
1583.3706493299171,10.385263222170225,2.994948613390432,1.6232782853708492,0.0,0.0,0.0,0.0,0.0,0.0,29.999999999999996,39.368421052631575,-117.89473684210526,Prediction Point 290,Unknown,0.5353182982254272,1
1925.8257859097632,5.45633900182151,2.1486255350501717,1.16801067025197,0.0,0.0,0.0,0.0,0.0,0.0,29.999999999999986,39.368421052631575,-116.3157894736842,Prediction Point 292,Unknown,0.5611945333124126,1
2048.7409460539284,19.8325265711214,4.4190931712866535,2.6711932530573232,0.0,0.0,0.0,0.0,0.0,0.0,19.999999999999993,39.368421052631575,-115.52631578947368,Prediction Point 293,Unknown,0.5208421958362277,1
2303.7212190319165,43.174524648925555,6.656560695035906,3.768151135708327,0.0,0.0,0.0,0.0,0.0,0.0,29.999999999999996,39.368421052631575,-114.73684210526315,Prediction Point 294,Unknown,0.6209860182506352,1
1496.0469017660982,13.606294270550691,2.3584136270541216,1.2567490450984786,0.0,0.0,0.0,0.0,0.0,0.0,30.0,39.368421052631575,-112.36842105263158,Prediction Point 297,Unknown,0.5205543067122345,1
1689.8578455665725,8.487336437074108,2.092934950884898,1.2195459289295185,0.0,0.0,0.0,0.0,0.0,0.0,29.999999999999986,39.368421052631575,-111.57894736842105,Prediction Point 298,Unknown,0.5251585538164816,1
1705.7653361775735,4.14542698774884,1.738877554421524,1.562038588203419,0.0,0.0,0.0,0.0,0.0,0.0,30.00000000000001,39.368421052631575,-110.78947368421052,Prediction Point 299,Unknown,0.5251585538164816,1
2392.266120538225,71.19794520789853,17.419488272252966,5.19440578866177,0.0,0.0,0.0,0.0,0.0,0.0,10.0,39.89473684210526,-115.52631578947368,Prediction Point 313,Unknown,0.5560944023505473,1
1821.2658094302974,12.38758199242521,2.7279858775356725,1.481891728422134,0.0,0.0,0.0,0.0,0.0,0.0,30.00000000000003,39.89473684210526,-114.73684210526315,Prediction Point 314,Unknown,0.5524571743464363,1
2029.9591510578691,61.097878436608255,9.998931945704202,5.551836803294927,0.0,0.0,0.0,0.0,0.0,0.0,29.999999999999996,39.89473684210526,-113.94736842105263,Prediction Point 315,Unknown,0.6672359002008679,1
2146.6313814447713,33.82009304901995,6.863651280140734,4.983715380641611,0.0,0.0,0.0,0.0,0.0,0.0,30.00000000000001,39.89473684210526,-112.36842105263158,Prediction Point 317,Unknown,0.7003729172702259,1
1986.1871696063542,54.971065289664445,8.368381790342967,3.732140209304778,0.0,0.0,0.0,0.0,0.0,0.0,30.0,39.89473684210526,-111.57894736842105,Prediction Point 318,Unknown,0.5853196267469402,1
1517.8255394642642,4.864569613325836,3.036591928096194,1.6435492383706742,0.0,0.0,0.0,0.0,0.0,0.0,29.999999999999993,40.421052631578945,-116.3157894736842,Prediction Point 332,Unknown,0.5353182982254272,1
1600.2835063522816,25.392966598610187,5.677374580336562,2.875511555020732,0.0,0.0,0.0,0.0,0.0,0.0,29.999999999999982,40.421052631578945,-112.36842105263158,Prediction Point 337,Unknown,0.5293526036284387,1
2132.3537930146936,49.33877807957562,9.258798572777218,7.970580879757014,0.0,0.0,0.0,0.0,0.0,0.0,30.00000000000001,40.421052631578945,-110.78947368421052,Prediction Point 339,Unknown,0.597020354529823,1
1790.7279838102997,12.030260175428992,2.3578516686777107,1.234713388870361,0.0,0.0,0.0,0.0,0.0,0.0,30.0,40.421052631578945,-110.0,Prediction Point 340,Unknown,0.5524571743464363,1
1702.0493728983784,16.885167667170194,4.034212086831041,1.9788305408686553,0.0,0.0,0.0,0.0,0.0,0.0,29.999999999999993,40.94736842105263,-120.26315789473685,Prediction Point 347,Unknown,0.5388473140231492,1
1610.0546562017719,18.45458489250477,4.362750214448105,2.785159114507749,0.0,0.0,0.0,0.0,0.0,0.0,30.0,40.94736842105263,-115.52631578947368,Prediction Point 353,Unknown,0.5290937513695865,1
1713.2681658364454,1.4086915510688254,1.8946773531501166,1.086261065552543,0.0,0.0,0.0,0.0,0.0,0.0,29.999999999999986,40.94736842105263,-114.73684210526315,Prediction Point 354,Unknown,0.5251585538164816,1
1717.7062891467137,14.638171926682292,3.7503102833864963,2.3356461334341163,0.0,0.0,0.0,0.0,0.0,0.0,30.00000000000002,41.473684210526315,-119.47368421052632,Prediction Point 368,Unknown,0.5388473140231492,1
1912.4808369596537,22.63283728670701,7.3848113618956255,4.161008482573711,0.0,0.0,0.0,0.0,0.0,0.0,30.000000000000032,41.473684210526315,-115.52631578947368,Prediction Point 373,Unknown,0.5678022344213107,1
1851.9105509013084,18.348873315746236,3.92475421751272,2.002319489798218,0.0,0.0,0.0,0.0,0.0,0.0,29.99999999999999,41.473684210526315,-114.73684210526315,Prediction Point 374,Unknown,0.5518216102287795,1
1504.6603187664869,26.198660442249697,3.8980300880607546,2.9781316346122817,0.0,0.0,0.0,0.0,0.0,0.0,29.999999999999996,41.473684210526315,-113.94736842105263,Prediction Point 375,Unknown,0.5293526036284387,1
2093.5595438471223,27.725319066349297,4.759667108708218,4.048604545509826,0.0,0.0,0.0,0.0,0.0,0.0,30.0,41.473684210526315,-111.57894736842105,Prediction Point 378,Unknown,0.5986494241231487,1
2231.6350829349267,38.55371520675675,7.4601366607047,4.533521636030465,0.0,0.0,0.0,0.0,0.0,0.0,30.000000000000004,41.473684210526315,-110.78947368421052,Prediction Point 379,Unknown,0.6621744864565493,1
2038.5215766149863,15.649563020346095,3.799161469061322,2.791999285570442,0.0,0.0,0.0,0.0,0.0,0.0,20.0,41.473684210526315,-110.0,Prediction Point 380,Unknown,0.5208421958362277,1
1479.3117885277431,10.821139071077402,2.633254047819199,1.4388332153077246,0.0,0.0,0.0,0.0,0.0,0.0,29.999999999999975,42.0,-121.05263157894737,Prediction Point 386,Unknown,0.5205543067122345,1
1516.6091969626193,24.136576329098197,5.706035807092953,3.016116681063964,0.0,0.0,0.0,0.0,0.0,0.0,30.000000000000036,42.0,-117.89473684210526,Prediction Point 390,Unknown,0.5293526036284387,1
1760.6740693024308,15.063371712319858,3.636045459642723,2.2376111910430496,0.0,0.0,0.0,0.0,0.0,0.0,30.000000000000025,42.0,-116.3157894736842,Prediction Point 392,Unknown,0.5518216102287795,1
1808.9661533843685,21.7925875910778,4.569951611556909,4.160193800365222,0.0,0.0,0.0,0.0,0.0,0.0,30.0,42.0,-115.52631578947368,Prediction Point 393,Unknown,0.5420680475752169,1
1654.1547764793188,9.355286943829809,3.092560833712757,2.5035172003041475,0.0,0.0,0.0,0.0,0.0,0.0,30.0,42.0,-114.73684210526315,Prediction Point 394,Unknown,0.5255647355718646,1
1607.5658326082114,25.785758292922576,6.983841592974083,4.585642102503071,0.0,0.0,0.0,0.0,0.0,0.0,30.0,42.0,-113.94736842105263,Prediction Point 395,Unknown,0.6022127533663324,1
2559.029847751176,62.40318528666602,13.019895971312433,5.640048465971441,0.0,0.0,0.0,0.0,0.0,0.0,10.0,42.0,-111.57894736842105,Prediction Point 398,Unknown,0.5281134972220977,1
2467.4432631827463,24.683179743667118,5.884190823088989,4.050399212940222,0.0,0.0,0.0,0.0,0.0,0.0,29.999999999999996,42.0,-110.78947368421052,Prediction Point 399,Unknown,0.6070424837138807,1
1961.8904578295783,9.43522035691351,2.222582627956449,1.5361761321008016,0.0,0.0,0.0,0.0,0.0,0.0,20.000000000000004,42.0,-110.0,Prediction Point 400,Unknown,0.5507896485871826,1
